test_id,dimension,metric,beginner_threshold,intermediate_threshold,advanced_threshold,alternative,basis
LV-TEC-SQUAT,technique,squat_checklist,unloaded_score_1,moderate_load_score_2,fatigue_observed_score_3,box_squat_or_supported_squat,SAFETY_PRODUCT
LV-TEC-HINGE,technique,hinge_checklist,unloaded_score_1,moderate_load_score_2,fatigue_observed_score_3,dowel_hinge,SAFETY_PRODUCT
LV-TEC-LUNGE,technique,lunge_checklist,supported_score_1,loaded_score_2,fatigue_observed_score_3,split_squat_supported,SAFETY_PRODUCT
LV-TEC-PUSH,technique,push_checklist,incline_score_1,floor_or_load_score_2,fatigue_observed_score_3,wall_push,SAFETY_PRODUCT
LV-TEC-PULL,technique,pull_checklist,ring_row_score_1,strict_pull_score_2,fatigue_observed_score_3,band_row,SAFETY_PRODUCT
LV-TEC-OH,technique,overhead_checklist,pain_free_range_score_1,loaded_score_2,fatigue_observed_score_3,landmine_or_no_overhead,SAFETY_PRODUCT
LV-TEC-BRACE,technique,brace_carry_checklist,20s_hold_score_1,loaded_carry_score_2,dynamic_score_3,dead_bug,SAFETY_PRODUCT
LV-TEC-LAND,technique,landing_checklist,10_stable_landings,20_repeat_landings,low_fatigue_observed,step_down,SAFETY_PRODUCT
LV-STR-SQUAT,strength,front_squat_submax,8x0.20BW_RPE7,5RM_0.60BW,3RM_1.00BW,goblet_or_machine_submax,PRODUCT_COACH
LV-STR-HINGE,strength,deadlift_submax,8x0.30BW_RPE7,5RM_1.00BW,3RM_1.50BW,KB_or_trapbar_submax,PRODUCT_COACH
LV-STR-PRESS,strength,strict_press_submax,8_light_RPE7,5RM_0.30BW,3RM_0.45BW,DB_or_landmine,PRODUCT_COACH
LV-AER-CONT,aerobic,continuous_minutes,10_RPE6,20_RPE7,30_RPE7,bike_row_ski_or_walk,EVIDENCE_PRODUCT
LV-AER-DRIFT,aerobic,repeat_interval_drop_pct,max15,max10,max7,work_matched_nonimpact,COACH_PRODUCT
LV-GYM-PULL,gymnastics,strict_pull_capacity,8_ring_rows,5_strict_or_equivalent,8_strict,band_or_ring_angle,SAFETY_COACH
LV-GYM-CORE,gymnastics,trunk_hang_capacity,20s_hollow_and_hang,8_knee_raises,10_TTB_or_strict_regression,dead_bug,SAFETY_COACH
LV-GYM-ROPE,gymnastics,jump_rope,50_singles,20_DU_or_100_singles,30_DU_unbroken,low_impact_fast_step,COACH_PRODUCT
LV-WL-CLEAN,weightlifting,clean_technical,5_PVC_or_empty_bar,5_hang_power_0.30BW,3_at_60pct_technical1RM,DB_hang_clean,COACH_SAFETY
LV-WL-SNATCH,weightlifting,snatch_technical,5_PVC_or_empty_bar,5_hang_power_0.20BW,3_at_60pct_technical1RM,DB_hang_snatch,COACH_SAFETY
LV-PACE,pacing,first_last_interval_drop_pct,max20,max12,max8,device_or_movement_matched,COACH_PRODUCT
LV-VOL,volume,weekly_sessions_tolerated,2_to_3,3_to_4,4_to_5,rolling_6_to_8_weeks,EVIDENCE_PRODUCT
LV-REC,recovery,readiness_mean_1_to_5,min3,min3,min3.5,exclude_acute_illness,PRODUCT
LV-ADH,adherence,completion_rate,min0.60,min0.70,min0.80,valid_opportunity_denominator,PRODUCT
