reason_code,domain,severity,meaning,default_action
SAFETY_RED_FLAG,safety,critical,red_flag_reported,block_and_refer
SAFETY_PAIN_BLOCK,safety,critical,pain_ge5_or_sharp_rising,stop_block
SAFETY_PAIN_MODIFY,safety,high,pain_3_4_or_delta_ge2,stop_pattern_and_substitute
SAFETY_TECHNIQUE_STOP,safety,high,technique_score_zero,stop_movement
SAFETY_CONTRAINDICATED,safety,critical,active_rule_matches_movement,reject
SAFETY_CLEARANCE_REQUIRED,safety,critical,clinical_clearance_missing,block_vigorous
LEVEL_CONFIDENCE_LOW,classification,medium,questionnaire_or_stale_data,cap_beginner
LEVEL_ASYMMETRIC,classification,info,skill_dimension_below_global,use_skill_cap
SKILL_LOCKED,skill,high,prerequisite_or_permission_missing,reject_or_regress
SKILL_PROGRESS,skill,info,three_quality_exposures,advance_one_rung
SKILL_REGRESS,skill,medium,pain_technique_or_pause,lower_one_rung
EQUIPMENT_UNAVAILABLE,equipment,high,required_item_missing,substitute_same_stimulus
FREQUENCY_UNSUPPORTED,program,medium,frequency_outside_level_product,offer_valid_frequency
DOSE_OUT_OF_RANGE,generator,high,reps_load_duration_outside_rule,rescale
WOD_STIMULUS_MISS,generator,high,prediction_outside_target,rescale
WOD_PAIRING_PROHIBITED,generator,high,unsafe_interference,backtrack
WOD_SCALE_STIMULUS_LOSS,generator,high,scale_delta_gt15pct,choose_other_scale
SESSION_INTERFERENCE,generator,high,strength_and_metcon_conflict,regenerate
WEEK_D2_SEQUENCE,generator,high,recovery_sequence_invalid,move_or_lower_session
WEEK_IMPACT_QUOTA,generator,high,impact_exposure_exceeded,replace_nonimpact
WEEK_HINGE_COLLISION,generator,high,hinge_spacing_invalid,move_or_replace
WEEK_TISSUE_QUOTA,generator,high,grip_overhead_lumbar_quota_exceeded,replace
BENCHMARK_TOO_FREQUENT,generator,high,benchmark_window_not_elapsed,replace
MOVEMENT_REPEATED_TOO_SOON,generator,high,same_D2_movement_lt72h,replace
GEN_SEARCH_BUDGET_EXCEEDED,generator,medium,backtracking_gt500,use_fallback
TRACE_MISSING,system,high,no_decision_trace,reject
IDEMPOTENCY_BROKEN,system,critical,same_key_different_output,fail
AI_VALIDATION_FAILED,system,high,AI_schema_or_rule_failure,use_deterministic_copy
AUTOREG_BUILD,autoreg,info,three_positive_comparable_exposures,progress_one_variable
AUTOREG_HOLD,autoreg,info,insufficient_or_single_negative_signal,maintain_or_calibrate
AUTOREG_RECOVERY,autoreg,medium,readiness_low_without_red_flag,D0_D1_24_72h
AUTOREG_DELOAD,autoreg,medium,two_independent_fatigue_signals,deload_5_7d
AUTOREG_RETURN,autoreg,medium,pause_or_cleared_return,apply_return_reduction
AUTOREG_EQUIPMENT_CHANGE,autoreg,info,result_not_comparable,hold
NUTR_CF_D0,nutrition,info,rest_or_recovery_load,rest_day_distribution
NUTR_CF_D1,nutrition,info,low_or_moderate_load,moderate_carbohydrate
NUTR_CF_D2,nutrition,info,high_or_very_high_test,high_day_carbohydrate
NUTR_CF_LOW_ADHERENCE,nutrition,medium,adherence_lt80pct,simplify_no_energy_change
NUTR_CF_PERFORMANCE_DROP,nutrition,medium,two_comparable_results_down5pct,review_energy_or_training
NUTR_CF_REDS_RISK,nutrition,critical,low_energy_availability_signals,stop_deficit_and_refer
NUTR_CF_HYDRATION_PERSONALIZE,nutrition,info,long_hot_or_high_sweat,use_sweat_rate
RETURN_PROTOCOL_REQUIRED,program,high,pause_ge14d,reduce_volume_and_skill
HISTORY_IMMUTABLE,system,critical,attempt_to_change_completed_history,abort
TRAINING_LOAD_INVALID,phase0,critical,training_load_v1_invalid,do_not_emit_or_activate
PHASE0_GATE_CLOSED,phase0,critical,shared_gate_not_confirmed,keep_feature_off
CATALOG_INACTIVE,catalog,high,movement_inactive_or_catalog_version_mismatch,reject
CATALOG_INSTRUCTIONS_MISSING,catalog,high,required_instructions_absent,reject
MEDIA_UNVERIFIED,catalog,medium,visual_resource_not_verified,use_text_or_verified_resource
WOD_FORMAT_NOT_ALLOWED,generator,high,format_not_allowed_for_level,reject
WOD_CAP_INVALID,generator,high,time_cap_outside_format_or_level,reject
WOD_SET_TOO_LARGE,generator,high,set_exceeds_60pct_fresh_capacity,rescale
WOD_OLY_VOLUME,generator,high,olympic_reps_or_load_outside_level,reject
WOD_HIGH_SKILL_COLLISION,generator,high,more_than_one_high_skill_movement,reject
WOD_SCORE_TYPE_INVALID,generator,high,score_type_does_not_match_format,reject
SESSION_WARMUP_GAP,generator,high,warmup_does_not_cover_primary_patterns,regenerate
SESSION_JOINT_LOAD,generator,high,joint_load_exceeds_session_cap,regenerate
SESSION_TIME_EXCEEDED,generator,high,total_duration_exceeds_user_time,trim_optional_or_regenerate
SESSION_STOP_RULES_MISSING,generator,high,session_has_no_stop_rules,reject
WEEK_DOMAIN_GAP,generator,medium,domain_or_pattern_quota_not_met,trace_or_regenerate
BLOCK_DELOAD_MISSING,generator,high,required_deload_week_missing,regenerate
BLOCK_MULTI_PROGRESS,generator,high,more_than_one_progression_variable_changed,regenerate
BLOCK_SKILL_IN_DELOAD,generator,high,new_skill_introduced_during_deload,regenerate
NUTR_CF_MACRO_CONSTRAINT,nutrition,high,energy_cannot_fit_macro_floors,review_energy_or_targets
