rule_id,pattern_or_context,state,symptom_or_condition,phase,action,allowed_modification,stimulus_preserving_option,block_or_refer,basis
SAFE-RED-CHEST,cardiorespiratory,red_flag,chest_pain_any_effort,any,stop_session,none,none,block_emergency_guidance,ACSM_SAFETY
SAFE-RED-SYNCOPE,cardiorespiratory,red_flag,syncope_presyncope_dizziness,any,stop_session,none,none,block_refer,ACSM_SAFETY
SAFE-RED-DYSPNEA,cardiorespiratory,red_flag,dyspnoea_rest_or_mild_effort,any,stop_session,none,none,block_refer,ACSM_SAFETY
SAFE-RED-NEURO,neurological,red_flag,new_weakness_numbness_coordination_loss,any,stop_session,none,none,block_refer,SAFETY
SAFE-RED-TRAUMA,trauma,red_flag,deformity_or_no_weight_bearing,any,stop_session,none,none,block_urgent_assessment,SAFETY
SAFE-PAIN-12,any,discomfort,pain_1_2_stable,warmup_or_work,monitor,reduce_speed_range_load,same_domain_lower_dose,no,PRODUCT_SAFETY
SAFE-PAIN-34,any,pain,pain_3_4_or_delta_ge2,any,stop_pattern,regress_or_change_domain,nonprovocative_mono_or_recovery,refer_if_persists,PRODUCT_SAFETY
SAFE-PAIN-5,any,acute,pain_ge5_sharp_or_rising,any,stop_session,none,recovery_only_after_screen,block_refer,PRODUCT_SAFETY
SAFE-TECH-0,any,unsafe,technique_score_0,work,stop_movement,lower_skill_or_remove,same_energy_lower_skill,no,COACH_SAFETY
SAFE-WARM-RPE,any,warning,RPE_ge9_at_light_warmup,warmup,stop_and_screen,convert_recovery,easy_walk_bike_if_no_symptoms,block_if_symptomatic,PRODUCT_SAFETY
SAFE-SHOULDER-OH,overhead,pain,pain_or_instability_overhead,any,remove_overhead,landmine_horizontal_or_range,air_bike_or_lower_body,no_unless_acute,COACH_SAFETY
SAFE-SHOULDER-KIP,kipping,pain_or_diagnosed,shoulder_elbow_symptoms,any,remove_kipping,strict_assisted_or_no_pull,row_or_bike,no_unless_acute,COACH_SAFETY
SAFE-WRIST-SUPPORT,hand_support,pain,pain_in_extension_or_load,any,remove_floor_inversion,handles_fists_or_no_support,bike_lower_body,no_unless_acute,COACH_SAFETY
SAFE-LUMBAR-HINGE,hinge,pain,pain_or_radiating_symptoms,warmup,stop_hinge,short_range_unloaded_only_if_symptom_free,bike_or_supported_upper,block_if_radiating,SAFETY
SAFE-KNEE-SQUAT,squat_lunge,pain,pain_with_depth_or_tracking,any,reduce_range_load_speed,box_squat_or_step_height,bike_upper_body,no_unless_acute,COACH_SAFETY
SAFE-LOWER-IMPACT,run_jump,pain,pain_or_unstable_landing,any,remove_impact,step_up_walk_or_bike,bike_row_if_tolerated,no_unless_acute,COACH_SAFETY
SAFE-GRIP,grip_pull,pain,pain_or_neurological_symptom,any,stop_grip,strap_not_used_to_hide_symptom,bike_or_lower_body,refer_if_neurological,SAFETY
SAFE-RETURN-14,return,return,pause_14_27d,block_start,reduce_volume_20pct,no_new_skill,same_domains_lower_volume,no,PRODUCT
SAFE-RETURN-28,return,return,pause_28_55d,block_start,reduce_volume_35pct_skill_minus1,low_complexity,same_domains_lower_volume,no,PRODUCT
SAFE-RETURN-56,return,return,pause_ge56d,block_start,reduce_volume_50pct_reclassify,foundation_only,same_domains_foundation,no,PRODUCT
SAFE-OBESITY,context,modifier,obesity_declared_or_high_body_mass,any,no_auto_block,lower_impact_range_equipment,air_bike_sled_carry_by_tolerance,screen_symptoms,PRODUCT_SAFETY
SAFE-AGE,context,modifier,older_age,any,no_auto_block,base_on_capacity_recovery,lower_impact_equivalent,screen_symptoms,ACSM_PRODUCT
SAFE-HTN,cardiovascular,condition,known_hypertension_or_CV_disease,preplan,screen_clearance_and_symptoms,avoid_unvalidated_vigorous_or_breath_hold,moderate_mono_if_authorized,refer_if_symptomatic,ACSM_SAFETY
SAFE-PREG,obstetric,blocked,pregnant_or_postpartum_without_contract,preplan,no_high_intensity_generation,none,none,block_pending_contract_clearance,ACOG_SAFETY
SAFE-PREG-BLEED,obstetric,red_flag,bleeding_fluid_leak_contractions_chest_pain_dizziness,any,stop_session,none,none,block_refer_urgent_as_appropriate,ACOG_SAFETY
SAFE-MINOR,age,blocked,age_lt18,preplan,beginner_technical_only,supervised_low_complexity,foundation_session,decision_and_consent_required,PRODUCT_POLICY
SAFE-EQUIP,equipment,modifier,required_equipment_missing,preplan,substitute,match_domain_pattern_and_duration,verified_alternative,no,PRODUCT
SAFE-TIME,time,modifier,available_time_lt_planned,preplan,trim_optional_then_WOD_dose,do_not_reduce_rest_for_strength,shorter_same_domain,no,PRODUCT
