mapping_id,session_condition,day_type,load_tier,demand_defaults,nutrition_action,reason_code,status
TL-REST,session_type_rest_or_recovery_and_no_work,D0,rest,aerobic_0.0_glycolytic_0.0,rest_distribution,NUTR_CF_D0,DESARROLLO_FLAG_OFF
TL-SKILL,skill_only_RPE_lte6_duration_lte45,D1,low,skill_0.7_neuromuscular_0.2,moderate_low_distribution,NUTR_CF_D1,DESARROLLO_FLAG_OFF
TL-STRENGTH-MOD,strength_RPE6_8_no_test,D1,moderate,neuromuscular_0.7_glycolytic_0.2,moderate_distribution,NUTR_CF_D1,DESARROLLO_FLAG_OFF
TL-STRENGTH-HIGH,strength_RPE8.5_9_or_test,D2,high,neuromuscular_0.9_glycolytic_0.3,high_day_if_total_energy_supports,NUTR_CF_D2,DESARROLLO_FLAG_OFF
TL-WOD-SHORT,WOD_lt10min_RPE_lte8_no_test,D1,moderate,glycolytic_0.6_aerobic_0.3,moderate_distribution,NUTR_CF_D1,DESARROLLO_FLAG_OFF
TL-WOD-HIGH,WOD_RPE_gt8_or_density_high_or_test,D2,high,glycolytic_0.9_neuromuscular_0.5,high_distribution,NUTR_CF_D2,DESARROLLO_FLAG_OFF
TL-WOD-LONG,WOD_18_35min_RPE7_9,D2,high,aerobic_0.7_glycolytic_0.7,high_distribution,NUTR_CF_D2,DESARROLLO_FLAG_OFF
TL-MONO-EASY,mono_20_45min_RPE_lte6,D1,low,aerobic_0.7,moderate_low_distribution,NUTR_CF_D1,DESARROLLO_FLAG_OFF
TL-INTERVAL-HIGH,intervals_drift_target_RPE8_9,D2,high,aerobic_0.6_glycolytic_0.8,high_distribution,NUTR_CF_D2,DESARROLLO_FLAG_OFF
TL-DOUBLE,authorized_double_session,D2,very_high,aerobic_0.7_glycolytic_0.7_neuromuscular_0.6,recovery_priority,NUTR_CF_D2,REQUIERE_VALIDACION_HUMANA
TL-COMP,competition_or_benchmark_test,D2,very_high,from_actual_session,individual_plan,NUTR_CF_D2,REQUIERE_VALIDACION_HUMANA
TL-DEGRADED,historical_or_missing_load,D1,low,unknown,keep_base_plan_no_aggressive_change,TRAINING_LOAD_INVALID,DESARROLLO_FLAG_OFF
